epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1465.63,0.46947,2.71511,0.21114,0.36951,1.06772,0.99579,1,0.995,0.96373,0.82457,0.82608,0.80099,0.39764,0.28948,2.92397,0.01608,0.19927,0.98453,0.0007055,0.0007055,0.0007055
90,1481.6,0.4751,2.68673,0.205,0.3614,1.06675,0.99099,0.99948,0.995,0.97178,0.85751,0.85108,0.83267,0.38586,0.30269,2.91243,0.01929,0.22043,0.98681,0.000699312,0.000699312,0.000699312
91,1497.56,0.46942,2.71744,0.20322,0.36222,1.06575,0.9944,0.98836,0.995,0.95667,0.76477,0.75941,0.71132,0.3433,0.305,3.08496,0.01447,0.23317,0.99727,0.000693125,0.000693125,0.000693125
92,1513.6,0.46889,2.73043,0.19956,0.36144,1.06552,0.99408,1,0.995,0.96073,0.85009,0.84745,0.82773,0.35777,0.32462,3.01182,0.01084,0.23402,1.00335,0.000686937,0.000686937,0.000686937
93,1529.46,0.47238,2.65684,0.206,0.36836,1.07097,0.99176,1,0.995,0.94508,0.80256,0.80108,0.7386,0.3632,0.31382,2.93717,0.02223,0.21244,1.01381,0.00068075,0.00068075,0.00068075
94,1545.71,0.48254,2.76261,0.20172,0.37097,1.07332,0.99343,1,0.995,0.95662,0.91578,0.92191,0.90574,0.41712,0.3119,2.87599,0.0196,0.22576,0.99606,0.000674562,0.000674562,0.000674562
95,1561.89,0.47779,2.64635,0.20004,0.3684,1.07543,0.98969,0.99784,0.995,0.96602,0.93613,0.93024,0.91627,0.43273,0.28272,2.82191,0.01735,0.21521,0.98227,0.000668375,0.000668375,0.000668375
96,1577.93,0.46094,2.61167,0.20388,0.35757,1.0584,0.99291,0.98916,0.995,0.94927,0.92184,0.91774,0.89797,0.41827,0.32138,2.84464,0.02586,0.23193,1.00452,0.000662188,0.000662188,0.000662188
97,1593.86,0.46441,2.65376,0.19987,0.36195,1.06808,0.99624,0.98877,0.995,0.9621,0.90848,0.90108,0.88633,0.4265,0.31236,2.80366,0.01992,0.22065,1.00034,0.000656,0.000656,0.000656
98,1609.91,0.45529,2.61918,0.20445,0.35512,1.05833,0.9955,1,0.995,0.97315,0.8938,0.89691,0.87673,0.45382,0.29271,2.78882,0.01915,0.21559,0.98363,0.000649813,0.000649813,0.000649813
99,1626.17,0.46531,2.61825,0.20462,0.3565,1.06749,0.99346,1,0.995,0.9677,0.91017,0.89949,0.87712,0.43865,0.28868,2.8641,0.01222,0.20991,0.97438,0.000643625,0.000643625,0.000643625
100,1642.09,0.46479,2.63543,0.20547,0.35791,1.06472,0.994,1,0.995,0.96716,0.88538,0.88858,0.89599,0.44875,0.2802,2.91419,0.0147,0.1989,0.97723,0.000637437,0.000637437,0.000637437
101,1658.21,0.46651,2.51992,0.19861,0.35893,1.0647,0.99563,0.98932,0.995,0.9477,0.89516,0.88858,0.8632,0.41787,0.29927,2.92366,0.01605,0.20511,0.97843,0.00063125,0.00063125,0.00063125
102,1674.12,0.45668,2.54542,0.19975,0.35864,1.05512,0.99704,0.98836,0.995,0.96293,0.89652,0.88858,0.85921,0.42565,0.28158,2.87155,0.02003,0.19608,0.96911,0.000625062,0.000625062,0.000625062
103,1690.04,0.47968,2.60412,0.19849,0.36835,1.07305,0.99576,1,0.995,0.95957,0.91219,0.90941,0.9075,0.47333,0.29351,2.75062,0.01144,0.21312,0.97721,0.000618875,0.000618875,0.000618875
104,1706.18,0.46536,2.58691,0.20237,0.35779,1.06665,0.99506,1,0.995,0.96669,0.85761,0.85524,0.80929,0.41176,0.30019,2.90426,0.01956,0.21539,0.9852,0.000612687,0.000612687,0.000612687
105,1722.35,0.46144,2.56551,0.19899,0.3623,1.06214,0.99306,1,0.995,0.96241,0.90975,0.90108,0.87954,0.43867,0.28732,2.79822,0.01715,0.19429,0.97133,0.0006065,0.0006065,0.0006065
106,1738.63,0.45836,2.57526,0.19998,0.35289,1.06003,0.99085,0.9992,0.995,0.95768,0.90313,0.89691,0.88139,0.46819,0.27844,2.75327,0.0181,0.20185,0.96692,0.000600313,0.000600313,0.000600313
107,1754.61,0.46057,2.53276,0.19498,0.36139,1.06165,0.99448,1,0.995,0.96508,0.87878,0.87608,0.84979,0.44273,0.27798,2.89346,0.01728,0.19518,0.95929,0.000594125,0.000594125,0.000594125
108,1770.77,0.45666,2.55242,0.19913,0.35547,1.06254,0.9946,0.9875,0.9944,0.96367,0.87364,0.86801,0.83238,0.44252,0.28765,2.79918,0.01832,0.20396,0.97499,0.000587938,0.000587938,0.000587938
109,1786.7,0.45845,2.61122,0.19694,0.35712,1.06206,0.99289,0.9875,0.9944,0.9569,0.89313,0.88858,0.8576,0.4372,0.28841,2.83357,0.01791,0.2182,0.98348,0.00058175,0.00058175,0.00058175
110,1802.61,0.45077,2.50953,0.19801,0.34843,1.05748,0.9884,0.99773,0.995,0.96719,0.90745,0.90108,0.89314,0.46716,0.28821,2.74615,0.01759,0.20488,0.97357,0.000575563,0.000575563,0.000575563
111,1818.97,0.4459,2.47933,0.19884,0.34813,1.05296,0.99409,1,0.995,0.95932,0.89198,0.88495,0.8665,0.45187,0.27472,2.75058,0.01488,0.20174,0.96507,0.000569375,0.000569375,0.000569375
112,1835.01,0.45332,2.5719,0.2017,0.3479,1.05606,0.99356,1,0.995,0.96417,0.88497,0.88024,0.86,0.43355,0.25399,2.78669,0.01872,0.19437,0.95475,0.000563187,0.000563187,0.000563187
113,1851.06,0.44702,2.49767,0.20063,0.33838,1.05536,0.99401,0.9884,0.995,0.97038,0.89485,0.88858,0.85546,0.45303,0.26335,2.74247,0.01942,0.20122,0.96276,0.000557,0.000557,0.000557
114,1867.09,0.45183,2.45569,0.2007,0.34606,1.04899,0.99424,1,0.995,0.96796,0.87911,0.87608,0.84237,0.46188,0.28499,2.81379,0.02158,0.21598,0.97099,0.000550813,0.000550813,0.000550813
115,1883.3,0.45432,2.49912,0.20154,0.34818,1.06058,0.99612,0.98821,0.995,0.96617,0.8884,0.88024,0.85733,0.44898,0.26106,2.77263,0.02551,0.20666,0.96094,0.000544625,0.000544625,0.000544625
116,1899.25,0.4571,2.45241,0.198,0.35031,1.06224,0.99676,0.9886,0.995,0.97723,0.92249,0.91358,0.89217,0.4664,0.27235,2.71783,0.01887,0.19483,0.95782,0.000538438,0.000538438,0.000538438
